faculty,programme,entry_requirement
Faculty of Management (FOM),Executive Master of Business Administration (E.M.B.A) via ODL (By Coursework),"Entry Requirements A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the HEP Senate; OR A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and with relevant working experience, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and without working experience, subject to passing pre-requisite courses; OR Other equivalent/related qualifications to a Bachelor’s degree (Level 6, MQF) recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Duration of Candidature The candidature for full-time basis is minimum 1 year and maximum 3 years while the candidature for part-time basis is minimum 2 years and maximum 5 years. Programme Intake March, July & October Programme Structure Full Time Semester 1 (17 Weeks) Marketing Innovations Managing Human Capital Management of Strategy Business Research Methods Business Economics Semester 2 (17 Weeks) Management Information Systems & IT Governance Accounting and Finance for Managers Ethics and Social Resposibility for Entrepreneurs Elective 1 Elective 2 Final Project Notes Core subjects (4 credit hours); Electives (2 credit hours) and Final Project (6 credit hours). Students are required to complete Semester 1 subjects before registering for Final Project. Students are to choose 2 elective subjects from the following subjects: – Service Marketing – Contemporary Corporate Finance – Project Management – Legal Informatics for Managers Part Time Semester 1 (17 Weeks) Marketing Innovations Managing Human Capital Management of Strategy Semester 2 (17 Weeks) Business Research Methods Business Economics Management Information Systems & IT Governance Semester 3 (17 Weeks) Accounting and Finance for Managers Ethics and Social Responsibility for Entrepreneurs Elective 1 Elective 2 Semester 4 (17 Weeks) Final Project Notes Core subjects (4 credit hours); Electives (2 credit hours) and Final Project (6 credit hours). Students are required to complete Semester 1 subjects before registering for Final Project. Students are to choose 2 elective subjects from the following subjects: – Service Marketing – Contemporary Corporate Finance – Project Management – Legal Informatics for Managers"
Faculty of Management (FOM),Diploma in Management,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Credit in at least three (3) subjects, and at least a Pass in English; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any subject AND a Pass in English at SPM Level or its equivalent; OR Pass STAM with a minimum Grade of Maqbul (Pass) AND a Pass in English at SPM Level or its equivalent; OR Pass UEC with a minimum of Grade B in at least three (3) subjects and at least a Pass in English; OR Pass SKM (Level 3, MQF) in a related field; OR A Certificate (Level 3, MQF) in the related field with at least CGPA of 2.00; OR Possess an APEL.A certificate from MQA for admission into Diploma programmes. Note Upon completing the diploma programme, students who intend to pursue their studies in MMU will need to meet the entry requirements of the bachelor’s degree programme of their choice. Programme Structure Year 1 English Business Mathematics Principles of Management Microeconomics Principles of Financial Accounting Pengajian Malaysia 2 / Bahasa Melayu Komunikasi 1 (U1) Business Statistics Principles of Marketing Macroeconomics Fundamentals of Finance 1 Basic Academic Writing (U2) Organisation Behaviour Entrepreneurship Computer Technology & Applications Critical Thinking Personal Social Responsibility (U4) Year 2 Effective Communication Skills Principles of Managerial Accounting Digital Literacy in Management Fundamentals of Finance 2 Human Resource Management Introduction to Project Management Business Law Operations Management International Business Small Business Management Business Ethics Practical Training Family and Society in Malaysia (U3) University Subjects Character Building Sustainable Society U1, U2, U3, U4 (Refer program structure)"
Faculty of Management (FOM),Diploma in Finance,"Entry Requirements Pass SPM / O-Level or its equivalent with at least Credits in 3 subjects including Mathematics and a Pass in English; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any subject AND a Credit in Mathematics and a Pass in English at SPM Level or its equivalent; OR Pass STAM with a minimum Grade of Maqbul (Pass) AND a Credit in Mathematics and a Pass in English at SPM Level or its equivalent; OR Pass UEC with a minimum of Grade B in at least three (3) subjects including Mathematics and at least a Pass in English; OR Pass SKM Level 3 in a related field AND Pass SPM with a Credit in Mathematics and a Pass in English; OR Any Certificate in Finance, Banking, Insurance or related field (Level 3, MQF) with a minimum CGPA of 2.00 out of 4.00.; OR Possess an APEL.A certificate from MQA for admission into Diploma programmes."
Faculty of Management (FOM),Bachelor of Management (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent.; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematics and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field*; OR Possess APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a . Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) *DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Entry Requirements (International) Pass Foundation / Matriculation studies from a recognised institution; OR Pass STPM or its equivalent with a minimum Grade C (GP 2.00) in any 2 subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum Grade D in any 2 subjects AND a Pass in Mathematics and English at SPM Level or its equivalent: OR Pass Diploma from a recognised institution AND A minimum score of 5.5 in IELTS or its equivalent Programme Structure MPU Courses (U1-U4) U1 – Appreciation of Ethics and Civilisation (Local students) / Bahasa Komunkasi 2 (International students) – Philosophy and Current Issues U2 (select one) – Integrity and Leadership – Bahasa Kebangsaan A (compulsory to those who failed BM SPM – local students) U3 (Select one) – Islamic Institution in Malaysia – Stress and Wellbeing among Malaysians – Introduction to Multicultural Studies in Malaysia U4 (Select one) – German Culture and Communication – Personal Social Responsibility – Arabic Culture and Communication – Chinese Culture and Communication – Japanese Culture and Communication – French Culture and Communication – Korean Culture and Communication – Spanish Culture and Communication University courses – Foundation of Critical Thinking – Essential Skills for Online Learning – Fundamentals of Digital Competence with Basic Programming Common Core – Business and Society – Business Law – Digital Transformation Technologies – Fundamentals of Economics – English for Business Communication – Entrepreneurship – Global Management – Human Resource Management – Management Information System – Accounting for Business – Organisational Behaviour – Principles of Finance – Principles of Management – Principles of Marketing – Production and Operations Management – Quantitative Methods – Strategic Management Discipline Core – Consumer Behaviour – Industrial Relations – Small Business Management – Leadership – Managing Technology in Organisations – Organisational Development – Organisational Change and Innovation Management – Project Management – Psychology – Research Methods for Business – TQM for Managers Electives (Choose any 5 subjects) TRI 1: – Training & Development – Service Marketing – Marketing Strategy – Labour Economics TRI 2: – Recruitment & Selection – Compensation & Benefit – Sales Management – Marketing Communication Note: Students are advised to follow programme structure to ensure timely graduation by registering available subjects that are offered for each respective trimester."
Faculty of Management (FOM),Master of Philosophy (Management) (By Research),"Fields of Research Human resource management International business Entrepreneurship Management Knowledge management Banking and finance Economics Accounting E-commerce Entry Requirements A Bachelor’s degree (Level 6, MQF) in the field or related fields with a minimum CGPA of 2.75 or equivalent, as accepted by the HEP Senate; or A Bachelor’s degree (Level 6, MQF) in the field or related fields with a minimum CGPA of 2.50 and not meeting CGPA of 2.75 or equivalent, can be accepted subject to rigorous internal assessment; or A Bachelor’s degree in the field or related fields with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment; or A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the HEP Senate, subject to having relevant working experience and rigorous internal assessment; or A Bachelor’s degree in non-related field with minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to a minimum of 5 years working experience in the relevant field and rigorous internal assessment; or A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and without relevant working experience, subject to passing pre-requisite courses; or Other qualifications equivalent to a Bachelor’s degree (Level 6, MQF) recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 1 year, Max. 3 years Part-Time: Min. 2 years, Max. 5 years Intake"
Faculty of Management (FOM),Doctor of Philosophy (Ph.D.) Management (By Research),"Fields of Research Human resource management International business Entrepreneurship Management Knowledge management Banking and finance Economics Accounting E-commerce Entry Requirements A Master’s degree (Level 7, MQF)  in the field or related fields as accepted by the HEP Senate; or A Master’s degree (Level 7, MQF) in non-related fields as accepted by the HEP Senate, subject to having relevant working experience and rigorous internal assessment; or A Master’s degree (Level 7, MQF) in non-related fields as accepted by the HEP Senate and without relevant working experience, subject to passing pre-requisite courses; or A Bachelor’s degree with minimum CGPA of 3.67 or equivalent in the field or related field from MMU or institutions recognised by Senate can be accepted subject to rigorous internal assessment; or Other qualifications equivalent to a Master’s degree (Level 7, MQF) in the field recognised by Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: Min. 2 years, Max. 5 years Part-Time: Min. 3 years, Max. 7 years Intake Throughout the year"
Faculty of Management (FOM),Master of Business Administration (M.B.A) (By Coursework),"Entry Requirements A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.50 or equivalent, as accepted by the HEP Senate; OR A Bachelor’s degree (Level 6, MQF) in related fields with a minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and with relevant working experience, subject to a rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by the HEP Senate and without working experience, subject to passing pre-requisite courses; OR Other equivalent/related qualifications to a Bachelor’s degree (Level 6, MQF) recognised by the Malaysian Government. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: 1 – 3 years Part-Time: 2 – 5 years Intake June, October 2023 March, July, October 2024"
Faculty of Management (FOM),Doctor of Business Administration (By Coursework and Dissertation),"Entry Requirements A Master’s degree (Level 7, MQF) in related fields as accepted by the HEP Senate; OR A Master’s degree (Level 7, MQF) in non-related fields as accepted by the HEP Senate, subject to having relevant working experience and rigorous internal assessment; OR A Master’s degree (Level 7, MQF) in non-related fields as accepted by the HEP Senate and without relevant working experience, subject to passing pre-requisite courses; OR Other qualifications equivalent to a Master’s degree (Level 7, MQF) in the field or related fields recognised by the Government of Malaysia. English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Full-Time: 3 – 7 years Part-Time: 4 – 7 years Intake March, July, October"
Faculty of Management (FOM),Foundation in Management,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects, inclusive of English; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of English OR a minimum of Grade C in English at SPM/O-Level or its equivalent. Additional Requirement to pursue Bachelor of Accounting (Honours), Bachelor of Finance (Hons) and Bachelor of Financial Engineering (Hons): A Credit in Mathematics at SPM Level or its equivalent. Programme Structure for Foundation in Management Trimester 1 Essential English Computer Applications in Business Introduction to Business Introduction to Law Essential Statistics Social and Emotional Health Trimester 2 Academic English Essential of Macroeconomics Essential of Management Accounting Trimester 3 Communicative English Essential Mathematics Essential of Microeconomics Essential of Financial Accounting University Study Skills"
Faculty of Management (FOM),Bachelor in Accounting (Hons.),"Entry Requirements A pass in Matriculation/Foundation qualification or its equivalent with a minimum CGPA of 2.50; OR A pass in Sijil Tinggi Persekolahan Malaysia (STPM) or its equivalent, with a minimum of Grade C+ (GP 2.33) in two subjects; OR A pass in Sijil Tinggi Agama Malaysia (STAM) with a minimum grade of Jayyid (good); OR Pass A-Level with a minimum of Grade D in 2 subjects; OR A pass in Diploma (Level 4, MQF) with minimum of CGPA of 2.50); OR Diploma in Accounting fields (Level 4, MQF) or equivalent with a minimum CGPA of 2.50. Candidates with a CGPA below 2.50 but more than 2.00 may be admitted subject to a thorough rigorous assessment; OR Diploma Kemahiran Malaysia (DKM) / Diploma Vokasional Malaysia (DVM) in Accounting fields with a minimum CGPA of 2.50 subjected to HEP Senate / Academic Board’s approval*; OR Diploma Lanjutan Kemahiran Malaysia (DLKM) in Accounting fields with a minimum CGPA of 2.50 subjected to HEP Senate / Academic Board’s approval*; OR Possess an Advanced Diploma (Level 5, MQF) in accounting or related field with a least a CGPA of 2.50; OR Other relevant and equivalent qualifications recognised by the Malaysian Government; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes.  For more information, please visit https://www.mmu.edu.my/apel-a/ AND i. Credit in Mathematics at SPM level or its equivalent AND ii. Pass in English at SPM Level or a minimum score of band 3 in MUET or equivalent**; OR For international student, achieve a minimum of Band 3.5 in MUET or equivalent to CEFR (High B1)"
Faculty of Management (FOM),Bachelor of Analytical Economics (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; For Bachelor of Digital Enterprise Management (Hons): Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English OR a minimum of Grade C in Mathematics and English at SPM/O-Level or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Posses an APEL.A certificate from MQA into admission of Bachelor programmes. For more programmes please visit https://www.mmu.edu.my/apel-a/ Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) * DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement."
Faculty of Management (FOM),Bachelor of Finance (Hons.),"Entry Requirements Pass Foundation/Matriculation studies from a recognised institution with a minimum CGPA of 2.50 AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR Pass STPM or its equivalent with a minimum Grade C+ (GP 2.33) in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in 2 subjects AND a Credit in Mathematics AND a Pass in English at SPM Level or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English; OR Pass STAM with a minimum Grade Jayyid (Good) in 2 subjects AND a Credit in Mathematic AND a Pass in English at SPM Level or its equivalent; OR Any qualification equivalent to Diploma in Finance, Banking, Insurance or related field (Level 4, MQF) with a minimum CGPA of 2.50 out of 4.00; OR Pass DKM /DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://mmu.edu.my/apel-a Note: The Credit requirement for Mathematics and Pass in English at SPM Level for candidate in category (i), (ii), (iii) and (v) can be waived should the qualifications contain Mathematics and English subjects with equivalent higher achievement. *DKM /DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement. Programme Structure Core Year 1 English for Business Communication Principles of Finance Mathematics for Finance Accounting for Decision Making Statistics for Finance Management Digital Transformation Technologies Critical Thinking and Applications in Management Business Law Fundamentals of Economics Year 2 Entrepreneurship Investments Financial Statement Analysis Introduction to Fintech Public Finance Research Methodology Ethics and Governance Financial Markets and Institutions Corporate Finance Basic Econometrics Financial Statistical Analysis Analytical Programming Elective 1 Elective 2 Elective 3 Year 3 Personal Finance Financial Risk Management Financial Modelling Financial Derivatives Behavioural Finance Real Estate Finance Practical Training Elective 4 Elective 5 Elective Modules Financial Management track Islamic Banking Tax Planning Portfolio Management Bank Management Corporate Financial Strategy International Finance Financial Engineering track Business Analytics Monte Carlo Simulations Time Series Analysis & Forecasting Introduction to Applied Probabilities & Stochastic Processes Corporate Financial Strategy International Finance University Subjects Character Building Sustainable Society Fundamentals of Digital Competence with Basic Programming U1, U2, U3, U4 (Refer program structure) Career Prospects Executives and managers for banking, insurance, finance, investment sector, manufacturing, education, consultancy, financial analyst, planners, adjustors and international trade."
Faculty of Management (FOM),Bachelor of Business Management (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; For Bachelor of Digital Enterprise Management (Hons) : Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English OR a minimum of Grade C in Mathematics and English at SPM/O-Level or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/"
Faculty of Management (FOM),Bachelor of Marketing (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; For Bachelor of Digital Enterprise Management (Hons) : Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English OR a minimum of Grade C in Mathematics and English at SPM/O-Level or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Possess an APEL.A certificate from MQA for admission into Bachelor programmes. For more information, please visit https://www.mmu.edu.my/apel-a/"
Faculty of Management (FOM),Bachelor of Digital Enterprise Management (Hons.),"Entry Requirements Pass Foundation/ Matriculation studies with at least CGPA of 2.00 from a recognised institution; OR Pass STPM or its equivalent with a minimum of Grade C (GP 2.00) in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass A-Level with a minimum of Grade D in any two (2) subjects AND a Pass in Mathematics and English at SPM Level or its equivalent; OR Pass STAM with a minimum of Grade Jayyid (Good) in two (2) subjects AND a Pass in Mathematic and English at SPM or its equivalent; OR Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of English OR a minimum of Grade C in SPM/O-Level English or equivalent; For Bachelor of Digital Enterprise Management (Hons): Pass UEC with a minimum of Grade B in at least five (5) subjects inclusive of Mathematics and English OR a minimum of Grade C in Mathematics and English at SPM/O-Level or equivalent; OR Any qualifications equivalent to Diploma or Advanced Diploma (Level 4 or 5, MQF) with at least CGPA of 2.00; OR Pass DKM/DLKM/DVM with a minimum CGPA of 2.50. Candidates with CGPA below 2.50 MUST have at least two (2) years of work experience in the related field.*; OR Posses an APEL.A certificate from MQA into admission of Bachelor programmes. For more programmes please visit https://www.mmu.edu.my/apel-a/ Note: The requirement to Pass Mathematics and English Subjects at SPM Level can be waived should the qualifications contain Mathematics and English subjects with equivalent/ higher achievement. Malaysian students using English as the medium of instruction in their previous study or with at least Band 2 in MUET or equivalent can be exempted from a pass in English requirement. Those without a pass in Mathematics and/or English at SPM level or equivalent can be admitted but are required to attend special enhancement course(s). These special enhancement courses should be SPM equivalent, remedial in nature. Students must pass the Mathematics and English enhancement courses as a prerequisite to related core courses taught in English. (English subject requirement does not apply to international students since they are required to meet certain scores of international English examination and privileged with certain exemptions) * DKM/DLKM/DVM candidates may be required to undergo Bridging Programme as an additional requirement."
Faculty of Creative Multimedia (FCM),Master of Creative Multimedia (By Coursework),"Entry Requirements A Bachelor’s degree (Level 6, MQF) in the field or related field of Creative Multimedia Technology with a minimum CGPA of 2.50 or equivalent, as accepted by MMU Senate, subject to rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in the field or related field of Creative Multimedia Technology with a minimum CGPA of 2.00 and not meeting CGPA of 2.50 or equivalent, can be accepted subject to rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with a minimum CGPA of 2.00 or equivalent, as accepted by MMU Senate, and with relevant working experience, subject to rigorous internal assessment; OR A Bachelor’s degree (Level 6, MQF) in non-related fields with minimum CGPA of 2.00 or equivalent, as accepted by MMU Senate, without relevant working experience, subject to rigorous internal assessment and/or passing pre-requisite courses determined by MMU; OR Other relevant equivalent qualifications (Level 6, MQF) recognised by the Malaysian Government, subject to rigorous internal assessment and/or passing pre-requisite courses determined by MMU Note Rigorous internal assessment includes a presentation interview (online / virtual / conventional) and submission of student’s portfolio determined by MMU as required English Entry Requirement: • Minimum IELTS overall band score of 6.0 or its equivalent* • *The equivalency table is as below: English Competency CEFR High B1 CEFR Low B2 CEFR Mid B2 CEFR High B2 MUET Band 3 Band 3 Band 4 Band 4 IELTS 5.0 5.5 6.0 6.5 TOEFL iBT 42 46 60 79 Pearson Test of English 47 51 59 63 Cambridge English Qualifications and Test 154 160 169 176 Linguaskill 154 160 169 176 • In addition to the above, any other qualification which is of equivalent level as determined by the Senate of the University. • The English language requirement is waived for the candidates who are natives of and/or have completed their Bachelor’s or Master’s degrees from countries that use English as the medium of instruction as well as the first language. Programme Duration Min. 1 year, Max. 3 years Part-Time: Min. 2 years, Max. 5 years Intake"
Faculty of Creative Multimedia (FCM),Foundation in Creative Multimedia,"Entry Requirements Pass SPM/O-Level or its equivalent with a minimum of Grade C in at least five (5) subjects, inclusive of English; OR Pass UEC with a minimum of Grade B in at least three (3) subjects inclusive of English. Programme Structure Trimester 1 Visual Research & Communication 1 Life Drawing Basic Photography Vector Illustration Techniques Basic Sound Design Popular Culture Studies Trimester 2 Storytelling and Mythology Trimester 3 Visual Research & Communication 2 Figure Drawing Creative Photography Digital Imaging Techniques Design & Art Appreciation Critical Thinking & Reasoning Elective Subjects Project Management Introduction to Computer Application University Subjects Philosophy and Current Issues Bahasa Kebangsaan A (Students without credit in BM at SPM Level) Bahasa Melayu Komunikasi 1 (International students) Basic Academic Writing Personal Social Responsibility Character Building Sustainable Society"
